Tipo	Nome	Categorias
Rua	Abilio Eugenio	
Rua	Adelino Fascina	
Rua	Adhemar Antonucci	
Rua	Adir Feres Tarcha	
Rua	Adolfo Cavina	
Rua	Adolfo Petrini	
Rua	Adão Rossi	
Rua	Adão da Silva	
Rua	Albertino Rorato	
Rua	Alberto Scudeller	
Rua	Alberto Zunta	
Rua	Alcides Simões Garrido	
Rua	Aldo Miguel	
Rua	Alice de Castro Bolzan	
Rua	Altino Martins da Silveira	
Rua	Alécio Gonçalves Diniz	
Rua	Alécio Querubim Marran	
Rua	Amalia Sabino dos Santos	
Rua	Amauri de Oliveira	
Rua	Amazonas	
Rua	Ambrósio José Barbosa	
Rua	Amélia Viscondi Andreotti	
Rua	Ana Leite	
Rua	Andre José	
Rua	Angelo Matiolli	
Rua	Angelo Pipolo	
Rua	Angelo Trigolo	
Rua	Angelo Vinhato	
Rua	Antonio Araujo Marques	
Rua	Antonio Barbosa	
Rua	Antonio Chagas dos Santos	
Rua	Antonio Conte	
Rua	Antonio Cremaschi	
Rua	Antonio Delfino Oliveira	
Rua	Antonio Dias da Mota Junior	
Rua	Antonio Dias da Silva	
Rua	Antonio Fantozzi	
Rua	Antonio Felix da Silva	
Rua	Antonio Franciscatti	
Rua	Antonio Guioti	
Rua	Antonio José do Amaral	
Rua	Antonio Leite de Moraes	
Rua	Antonio Marroni	
Rua	Antonio Odilio de Paula Assis	
Rua	Antonio Paulino Barreiro	
Praça	Antonio Pipolo	
Rua	Antonio Pipolo Sobrinho	
Rua	Antonio Praxedes	
Rua	Antonio Souza Reis	
Rua	Antonio da Silva Madeira	
Rua	Antonio da Silva Vieira	
Rua	Aparecida Zuqui da Silva	
Rua	Arlindo Dare	
Rua	Arlindo Luz	
Rua	Arlindo Zanchetta	
Rua	Assad Chadi	
Rua	Augusto Gozzi	
Rua	Belmiro Ribeiro da Silva	
Rua	Benedito Antonio Madureira	
Rua	Benedito Antunes Romão	
Rua	Benedito Cortes	
Rua	Benedito Felix	
Rua	Benedito Pereira da Silva	
Rua	Benedito Ribeiro	
Rua	Benedito Rodrigues	
Rua	Boituva	
Rua	Calil Assad Bucalen	
Rua	Calixto Rossi	
Rua	Capitão José Philomeno Marques	
Rua	Cardeal Arco Verde	
Rua	Carlos Ivo Lucci	
Rua	Carlos Scaramboni	
Rua	Carmo Chadi	
Rua	Cezário Leite	
Rua	Chafik Buchain	
Rua	Claudio Buzzo	
Rua	Claudio Russo	
Rua	Cleusil Favareto	
Rua	Clodovildo Rossi	
Rua	Coronel Antenor Ramos	
Rua	Coronel Valencio Carneiro	
Rua	Cândido Galdino Vieira	
Rua	David José Pahim	
Rua	Diretora Sarah de Mello Jabur	
Rua	Dom Pedro II	
Rua	Domingos Porto	
Rua	Domingos Souza Reis	
Rua	Dona Alice	
Rua	Dona Elvira Vieira	
Rua	Doutor Altamiro Prado	
