Tipo	Nome	Categorias
Rua	Abilio Eugenio	Pessoa,Homem
Rua	Adelino Fascina	Pessoa,Homem
Rua	Adhemar Antonucci	Pessoa,Homem
Rua	Adir Feres Tarcha	Pessoa,Homem
Rua	Adolfo Cavina	Pessoa,Homem
Rua	Adolfo Petrini	Pessoa,Homem
Rua	Adão Rossi	Pessoa,Homem
Rua	Adão da Silva	Pessoa,Homem
Rua	Albertino Rorato	Pessoa,Homem
Rua	Alberto Scudeller	Pessoa,Homem
Rua	Alberto Zunta	Pessoa,Homem
Rua	Alcides Simões Garrido	Pessoa,Homem
Rua	Aldo Miguel	Pessoa,Homem
Rua	Alice de Castro Bolzan	Pessoa,Mulher
Rua	Altino Martins da Silveira	Pessoa,Homem
Rua	Alécio Gonçalves Diniz	Pessoa,Homem
Rua	Alécio Querubim Marran	Pessoa,Homem
Rua	Amalia Sabino dos Santos	Pessoa,Mulher
Rua	Amauri de Oliveira	Pessoa,Homem
Rua	Amazonas	Topônimo,Estado
Rua	Ambrósio José Barbosa	Pessoa,Homem
Rua	Amélia Viscondi Andreotti	Pessoa,Mulher
Rua	Ana Leite	Pessoa,Mulher
Rua	Andre José	Pessoa,Homem
Rua	Angelo Matiolli	Pessoa,Homem
Rua	Angelo Pipolo	Pessoa,Homem
Rua	Angelo Trigolo	Pessoa,Homem
Rua	Angelo Vinhato	Pessoa,Homem
Rua	Antonio Araujo Marques	Pessoa,Homem
Rua	Antonio Barbosa	Pessoa,Homem
Rua	Antonio Chagas dos Santos	Pessoa,Homem
Rua	Antonio Conte	Pessoa,Homem
Rua	Antonio Cremaschi	Pessoa,Homem
Rua	Antonio Delfino Oliveira	Pessoa,Homem
Rua	Antonio Dias da Mota Junior	Pessoa,Homem
Rua	Antonio Dias da Silva	Pessoa,Homem
Rua	Antonio Fantozzi	Pessoa,Homem
Rua	Antonio Felix da Silva	Pessoa,Homem
Rua	Antonio Franciscatti	Pessoa,Homem
Rua	Antonio Guioti	Pessoa,Homem
Rua	Antonio José do Amaral	Pessoa,Homem
Rua	Antonio Leite de Moraes	Pessoa,Homem
Rua	Antonio Marroni	Pessoa,Homem
Rua	Antonio Odilio de Paula Assis	Pessoa,Homem
Rua	Antonio Paulino Barreiro	Pessoa,Homem
Praça	Antonio Pipolo	Pessoa,Homem
Rua	Antonio Pipolo Sobrinho	Pessoa,Homem
Rua	Antonio Praxedes	Pessoa,Homem
Rua	Antonio Souza Reis	Pessoa,Homem
Rua	Antonio da Silva Madeira	Pessoa,Homem
Rua	Antonio da Silva Vieira	Pessoa,Homem
Rua	Aparecida Zuqui da Silva	Pessoa,Mulher
Rua	Arlindo Dare	Pessoa,Homem
Rua	Arlindo Luz	Pessoa,Homem
Rua	Arlindo Zanchetta	Pessoa,Homem
Rua	Assad Chadi	Pessoa,Homem
Rua	Augusto Gozzi	Pessoa,Homem
Rua	Belmiro Ribeiro da Silva	Pessoa,Homem
Rua	Benedito Antonio Madureira	Pessoa,Homem
Rua	Benedito Antunes Romão	Pessoa,Homem
Rua	Benedito Cortes	Pessoa,Homem
Rua	Benedito Felix	Pessoa,Homem
Rua	Benedito Pereira da Silva	Pessoa,Homem
Rua	Benedito Ribeiro	Pessoa,Homem
Rua	Benedito Rodrigues	Pessoa,Homem
Rua	Boituva	Topônimo,Cidade
Rua	Calil Assad Bucalen	Pessoa,Homem
Rua	Calixto Rossi	Pessoa,Homem
Rua	Capitão José Philomeno Marques	Pessoa,Homem,Militar
Rua	Cardeal Arco Verde	Pessoa,Homem,Religioso
Rua	Carlos Ivo Lucci	Pessoa,Homem
Rua	Carlos Scaramboni	Pessoa,Homem
Rua	Carmo Chadi	Pessoa,Homem
Rua	Cezário Leite	Pessoa,Homem
Rua	Chafik Buchain	Pessoa,Homem
Rua	Claudio Buzzo	Pessoa,Homem
Rua	Claudio Russo	Pessoa,Homem
Rua	Cleusil Favareto	Pessoa,Homem
Rua	Clodovildo Rossi	Pessoa,Homem
Rua	Coronel Antenor Ramos	Pessoa,Homem,Militar
Rua	Coronel Valencio Carneiro	Pessoa,Homem,Militar
Rua	Cândido Galdino Vieira	Pessoa,Homem
Rua	David José Pahim	Pessoa,Homem
